language,family,genus,pop,I,you,we,one,two,person,fish,dog,louse,tree,leaf,skin,blood,bone,horn,ear,eye,nose,tooth,tongue,knee,hand,breast,liver,drink,see,hear,die,come,sun,star,water,stone,fire,path,mountain,night,full,new,name
BEJA,AA,BEJA,1237000,anu,bErok,hanEn,Na,malob,tEk,aSab,oyas,tat,inib,lat,adeb,boy,mitat,dab-daXab,angil,lElit,gunuf,kirEt,midalab,0,ayEb,tutEb,tonkola7,goyE7,riyah,masu,iya7,E7a,yin,hayuk,yam,aweb,ne7et,sikab,rEbab,hawad,0,gEyib,sim
BEJA_2,AA,BEJA,1237000,ani,baruk-batuk,hanin,gar-gal,malo,ha,asa-ase,yas,tat,Sedar,baya,ada,boy,mi,da7,angwil,lili,genut,kos,midala-mida,gun-ma,ay,nug-nugwe,se,gu7,erh,masuw,yati,yit-i,yin-in,hayuk,yam,awe,n7a,lagi,reba,hawad,atab,ga,sim-sum
AYT_SEGHROUCHEN,AA,BERBER,2490000,0,0,0,idZ-ij,snat,bnadm,aslm,aidi,0,sZrt,0,aXidur,idamn,is,iS,amzuX,tit,tinzar,timst,ils,fud,fus,if,tsa,sw,zr,sl,mt,rad,tafuit,itri,aman,azru,timsi,abrid,lXari,Xyid,0,0,ism
AWJILAH,AA,BERBER,2000,n3k,ku,n3k3ni,iwinan,0,ar3gaz,0,gzin,tw3likt,0,t3l3biSt,glim,dimmen,axast,iSk,is3m,tit,tk3nzirt,asin,il3s,afud,afus,0,tisi,Su,ag3l,3s3l,mut,uS,tafut,0,imin,az3rg,awif,t3barut,0,ab3t,3tk3r,atrar,0
BENI_SNOUS_WESTERN_ALGERIAN_BERBER,AA,BERBER,1470000,N3C,S3k,n3Cnin,ij3n,8nay3n,0,asl3m,ay8i,8iSi8,s3Z3r8,lw3rq,il3m,i8am3n,iy3s,iS,8imj3t,8it7,8inz3r8,tixm3st,il3s,fud,fus,if3f,tsa,su,z73r,s3l,3m38,as3d,8fuy8,i8ri,aman,8awqi8,8imsi,abri8,a8rar,id7,Car,l3Zdi8,lis3m
FIGUIG,AA,BERBER,2490000,n3C,S3k,n3Sni,ij3n,s3n,bnad3m,asl3m,aydi,til3yt,0,lw3rq,il3m,idam3n,ix3s,aq3llux,tit,0,funz3r,tixm3s,il3s,fud,fus,bupu,tsa,s3w,mat3r,s3l,m3t,as,tfuyt,itri,aman,qabu,l7af3yt,abrid,asdrar,id,3mer,aZdid,t3sm3y3t
FOQAHA,AA,BERBER,-2016,n3ki,S3ki,n3keni,ig3n,s3n,0,0,edi,tirSit,0,t3frit,il3m,idam3n,ix3s,3lqurn,tm3zuxt,tit,tinz3rt,isin,il3s,afud,afus,0,tasan,asu,az3r,as3l,3m3t,us,tafukt,iri,aman,txaxit,temsi,tabarut,0,ayad,kar,trar,0
GHADAMES,AA,BERBER,12000,naS,Sag,nakanen,yon,s3n,iman,0,ede,tal3kt,tamdikt,t3fra,el3m,daman,xas,aSkaw,es3m,awal,t3nzart,asen,el3s,of3d,of3s,admar,tosa,asw,all3m,asl,amm3t,as,ese,iri,aman,er3j,ofa,abrid,adurar,ebad,3tkur,0,ism
GHADAMES_2,AA,BERBER,12000,neS,Seg,nekenin,yun,s3n,iman,ulisma,idi,tal3kt,temdikt,t3fra,il3m,demen,x3s,aSkaw,is3m,aw3l,t3nzart,asin,il3s,uf3d,uf3s,admaren,tusa,s3w,el3m-izelem,3sl,3m3t,as,isi,iri,aman,ir3g,ufa,abrid,adurar,ibed,etkur,0,ism
GHOMARA,AA,BERBER,10000,n3k,k3j,nucna,yan,zuZ,insan,amal3h,ayda,0,tagig3t,afraw,lZ3ld,a83m,ax3s,as3kaw,am3zux,tit,tax3nfurt,asan,il3s,afud,0,sd3r,l3fwad,su,zar,s3l,mu8,du,tafuct,n3Zma,aman,azru,l7afya,azr3f,adrar,lil,kar,Zdid,ism
JEBEL_NEFUSA,AA,BERBER,234000,0,0,0,ujun,sen,0,taXotit,yudi,0,0,0,uglim,idmn,ixas,aSaw,tmejit,tit,tinzert,sin,iles,0,ufes,bibiS,tusa,Esu,eSbaX,esel,emet,ased,tufut,tri,amEn,txoxot,tfawt,brid,drar,it,0,0,is3m
KABYLE,AA,BERBER,5586000,n3k,k3C,n3kni,yiw3n,sin,bnadem,asl3m,aydi,tilkit,0,if3r,aglim,idam3n,ix3s,iS,am3zux,tit,anzar3n,tuxm3st,il3s,ag3Srir,afus,idmar3n,tasa,s3w,wali,s3l,3m3t,as,itiZ,itri,aman,adxax,tim3s,abrid,adrar,id,aCaran,0,is3m
KABYLE_GREATER_KABYLIA_AT_MANGELLAT,AA,BERBER,5586000,n3k,c3C,n3kni,yiw3n,sin,lx3lq,asl3m-lhu8,ay8i,8ilkit,t3Zr7a,if3r,ajlim,i8am3n,ix3s,iS3w,am3z7ux,8it7,8inz3r8,8uxm3s8,il3s,afu8,0,8abbuS8,8asa,s3w,z73r-wali,s3l,m38,as,it7iZ,i8ri,aman,az7ru,8im3s,abri8,a8rar,i87,Car7,aZ8i8,is3m
NAFUSI,AA,BERBER,234000,n3C,S3k,n3C3n,ujun,s3n,bnad3m,3lhut,yudi,tilSit,l3sZar,3lw3rq,uglim,id3m3n,x3s,aSaw,tm3jit,tit,tinz3rt,sin,il3s,uf3d,uf3s,0,tusa,3su,3Sb3h,3s3l,3m3t,as,tufut,tri,aman,dxax,twaft,brid,drar,it,3Car,aZdid,l3s3m
OUARGLA_BERBER,AA,BERBER,20000,n3SS,S3kk,n3Snin,igg3n,s3n,takrumt,lXut,aydi,tillit,SS3Z3rt,tifrit,aglim,idamm3n,iX3s,aSSaw,tam3ZZit,tit7t7,tinz3rt,tiXm3st,il3s,fud,fus,iff,ca,s3w,z73r,s3ll,mm3t,as,tfit,itri,aman,adXaX,timsi,abrid,ag3rgub,id7,SSar7,aZdid,is3m
SENHAJA_DE_SRAIR,AA,BERBER,50000,n3k,k3j,nukni,iw3n,ZuZ,b3na83m,asl3m,ahar8an,8iSi8,s3Zra,afar,Z3ld,3d3m,ix3s,isk,am3zux,8i7,8inzar8,aqaruS,ils,afu8,afus,abiS,8asa,su,zar,s3l,3m38,as,8afuT8,i8ri,aman,azru,l7afya,iz3rf,a8rar,3lil,38kar,3ji8,is3m
SENHAYI,AA,BERBER,50000,0,0,0,iwn,ZuZ,bna8m,aslm,ahar8an,0,0,0,0,dm,is,isk,amzux,8it,8inzar8,8ims8,ils,afu8,afus,abiS,8asa,su,zar,sl,m8,0,8afuS8,i8ri,aman,azru,8imsi,izrf,0,0,0,0,ism
SIWA_BERBER,AA,BERBER,20000,niS,S3k,3nCni,3ZZ3n,s3n,at3rras,tism3kt,agurzni,talS3t,tiss3Zr3t,tw3r7q3t,il3m,idamm3n,ix3s7,aCCaw,tam3z7z7uxt,tit7t,tanzart,asen,il3s,fud,fus,if3f,ca,su,z73r,s3l,0,us3d,tfukt,iri,aman,txux3t,t3msi,3mm3s7r3b,adrar,it7,Cur,atrar,ism
SIWI,AA,BERBER,20000,niS-n3S,S3k,nini,3j3n,s3n,0,0,agurz3ni,talS3t,0,0,il3m,idam3n,ix3s,aCao,tam3zuht,t3t,tanart,asayn,il3s,fud,fus,ifef,ca,su,z3r,s3l,imut,us,tfukt,iri,aman,txox3t,t3msi,0,adrar,it,Cur,atrar,0
TAMAHAQ_TAHAGGART,AA,BERBER,77000,nak,kay,nakaned,iyan,3ssin,awadam,asulmay,eydi,tilik,aSek,afraw,alam,ahni,axas,is3k,tamazuk,tet,ti5har,esen,il3s,afud,afus,efaf,awsa,3s3w,3n3y,3s3l,amat,as,tafuk,atri,aman,tahunt,tim3s,abaraqa,adrar,ahad,adkar,iynay,is3m
TAMAHAQ_TAHAGGART_2,AA,BERBER,77000,n3k,kay,n3kanid,y3n-iyan,3sin,y3n,asulm3y,eydi,tilik,aS3k,afraw,el3m,ahni,ex3s,is3k,tam3zuk,tit,a5giur,sin3n,il3s,afud,afus,idmar3n,awsa,3su,3ni,3s3l,3m3t,as,tafuk,atri,aman,ablal,temse,abar3qa,adrar,ehod,3tk3r,inay,is3m
TAMAJEQ_TAYART_AIR,AA,BERBER,250000,nak7,kay,n3k3ni,3yan,3Sin,awedan,kifi,iji,C3lek,eSek,af7r3nk3t,elam,ezni,exas,is3k7,tand73r3k,C3t7,C3nZaren,eSen,il3s,3fud,3fus,efaf,tas7a,3Swu,3n73y,3slu,am7at,as7u,t3f7uk,atr7i,am7an,t3wint,temse,tar7ayt,adxax,ehad7,3k3r,iynay,is3n
TAMASHEQ,AA,BERBER,500000,nak,kay,nakaned7,iyan,3sin,awad3m,eman,edi,tilik,emaxt,efarket,elam,aSni,exas,is3k,tam3z7uk,tet7,tinSar,esen,il3s,3fud,3fus,efaf,awsa,3su,3nh3y,3s3l,amat,as,t3fuk,at3r,aman,t3hunt,efew,abarij,ad7xax,3had7,3dk3r,iynay,is3m
TAMAZIGHT_CENTRAL_ATLAS_AYT_IZDEG,AA,BERBER,2490000,nek,0,nukni,yun,sin,bnad3m,asl3m,iydi,taxuyt,axlij,if3r,ab3tan,idam3n,ixs,iS,am3zux,tit,anzar,tuym3st,ils,afud,afus,if,tasa,su,ini,isil,m3t,adu,tafuyt,itri,aman,azru,afa,abrid,a7ari,id,3m3r,uZdid,is3m
TAMAZIGHT_CENTRAL_ATLAS_AYT_NDHIR,AA,BERBER,2490000,n3k,S3g,nukni,yun,sin,b3na83m,asl3m,iy8i,8axuy8,axlij,8awriq8,ajlim,i8am3n,ixs7,iS,am3zux,8it7,8ijnzar,uxs,irs,afu8,afus,if,8asa,s3w,anay,s3l,m38,du,8afuS8,i8ri,aman,azr7u,l7afi8,abri8,Zb3l,i87,3m3r,uZ8i8,ism
TAMAZIGHT_CENTRAL_ATLAS_NTIFA,AA,BERBER,2490000,nki,kiy,nukni,yan,sin,0,aslm,aydi,tilit,SZrt,ifr,ilm,idamn,ixs,isk,amzux,tit7,inzr,tuxmst,ils,afud,afus,if,tasa,su,z7r,sl,mt,aSk,tafukt,itri,aman,azru,l7afit,abrid,adrar,id7,tkur,0,ism
